name,Protein,Energy,"Carbohydrate, by difference",Total lipid (fat),foodPortions
"Milk, human","{'Amount': 1.03, 'unit': 'g'}","{'Amount': 70.0, 'unit': 'kcal'}","{'Amount': 6.89, 'unit': 'g'}","{'Amount': 4.38, 'unit': 'g'}","[{'gramWeight': 246, 'portionDescription': '1 cup'}, {'gramWeight': 30.8, 'portionDescription': '1 fl oz'}, {'gramWeight': 0, 'portionDescription': 'Quantity not specified'}]"
"Milk, NFS","{'Amount': 3.34, 'unit': 'g'}","{'Amount': 51.0, 'unit': 'kcal'}","{'Amount': 4.87, 'unit': 'g'}","{'Amount': 1.99, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': '1 individual school container'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, whole","{'Amount': 3.28, 'unit': 'g'}","{'Amount': 60.0, 'unit': 'kcal'}","{'Amount': 4.67, 'unit': 'g'}","{'Amount': 3.2, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': '1 individual school container'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, low sodium, whole","{'Amount': 3.1, 'unit': 'g'}","{'Amount': 61.0, 'unit': 'kcal'}","{'Amount': 4.46, 'unit': 'g'}","{'Amount': 3.46, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, calcium fortified, whole","{'Amount': 3.28, 'unit': 'g'}","{'Amount': 60.0, 'unit': 'kcal'}","{'Amount': 4.67, 'unit': 'g'}","{'Amount': 3.2, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, calcium fortified, low fat (1%)","{'Amount': 3.38, 'unit': 'g'}","{'Amount': 43.0, 'unit': 'kcal'}","{'Amount': 5.19, 'unit': 'g'}","{'Amount': 0.95, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, calcium fortified, fat free (skim)","{'Amount': 3.4, 'unit': 'g'}","{'Amount': 35.0, 'unit': 'kcal'}","{'Amount': 4.85, 'unit': 'g'}","{'Amount': 0.18, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, reduced fat (2%)","{'Amount': 3.35, 'unit': 'g'}","{'Amount': 50.0, 'unit': 'kcal'}","{'Amount': 4.91, 'unit': 'g'}","{'Amount': 1.9, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': '1 individual school container'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, acidophilus, low fat (1%)","{'Amount': 3.38, 'unit': 'g'}","{'Amount': 43.0, 'unit': 'kcal'}","{'Amount': 5.19, 'unit': 'g'}","{'Amount': 0.95, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, acidophilus, reduced fat (2%)","{'Amount': 3.35, 'unit': 'g'}","{'Amount': 50.0, 'unit': 'kcal'}","{'Amount': 4.91, 'unit': 'g'}","{'Amount': 1.9, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, low fat (1%)","{'Amount': 3.38, 'unit': 'g'}","{'Amount': 43.0, 'unit': 'kcal'}","{'Amount': 5.19, 'unit': 'g'}","{'Amount': 0.95, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 244, 'portionDescription': '1 individual school container'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, fat free (skim)","{'Amount': 3.43, 'unit': 'g'}","{'Amount': 34.0, 'unit': 'kcal'}","{'Amount': 4.89, 'unit': 'g'}","{'Amount': 0.08, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': '1 individual school container'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, lactose free, low fat (1%)","{'Amount': 3.38, 'unit': 'g'}","{'Amount': 43.0, 'unit': 'kcal'}","{'Amount': 5.19, 'unit': 'g'}","{'Amount': 0.95, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, lactose free, fat free (skim)","{'Amount': 3.43, 'unit': 'g'}","{'Amount': 34.0, 'unit': 'kcal'}","{'Amount': 4.89, 'unit': 'g'}","{'Amount': 0.08, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, lactose free, reduced fat (2%)","{'Amount': 3.35, 'unit': 'g'}","{'Amount': 50.0, 'unit': 'kcal'}","{'Amount': 4.91, 'unit': 'g'}","{'Amount': 1.9, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
